Wall time,Step,Value
1598538486.384372,167,0.375
1598538580.1869993,474,0.5625
1598538599.6592176,536,0.375
1598538609.1993997,586,0.5
1598538629.0555146,647,0.46875
1598538884.363495,1436,0.375
1598538999.5125344,1737,0.5625
1598539229.240715,2307,0.5
1598539248.6001124,2389,0.5
1598539283.1552446,2486,0.4375
1598539583.2265754,3246,0.59375
1598540061.7391994,4492,0.53125
1598540324.8412397,5134,0.40625
1598540629.2675881,5907,0.6875
1598540922.9365258,6699,0.5
1598540938.4398062,6711,0.625
1598541027.19978,6966,0.71875
1598541224.275826,7463,0.65625
1598541350.457756,7798,0.65625
1598541373.4357412,7833,0.65625
1598541628.3468885,8498,0.65625
1598541928.1967728,9260,0.78125
1598542009.6634583,9468,0.75
1598542370.1921988,10399,0.65625
1598542556.048506,10905,0.75
1598542567.6211154,10966,0.75
1598542727.3706288,11532,0.8125
1598542836.40529,11969,0.8125
1598543065.2493777,12877,0.84375
1598543106.9640665,13034,0.8125
1598543418.3894446,14294,0.78125
1598543514.098472,14668,0.75
1598543541.8473039,14779,0.8125
1598543881.4572456,16116,0.84375
1598544067.5622668,16857,0.90625
1598544187.021496,17317,0.75
1598544242.1371028,17543,0.96875
1598544743.851418,19531,0.96875
1598544771.094985,19640,0.875
1598544875.7225802,20062,0.90625
1598544997.0618625,20539,0.96875
1598545005.5040185,20578,0.9375
1598545075.4994051,20855,0.90625
1598545131.040017,21080,1.0
1598545148.630024,21144,0.96875
1598545194.081359,21319,0.875
1598545449.9845197,22330,1.0
1598545455.1998513,22358,0.96875
1598545689.3058558,23286,0.96875
1598545709.2655754,23361,1.0
1598545729.2754614,23427,0.875
1598545787.6394215,23670,0.90625
1598545799.1993008,23701,0.9375
1598545909.0650778,24147,0.9375
1598545954.537999,24322,0.96875
1598546056.0406754,24727,1.0
1598546107.4492981,24934,0.9375
1598546186.776069,25253,0.9375
1598546572.164624,26797,0.96875
1598547123.4230273,28970,0.9375
1598547128.2490869,28996,1.0
1598547342.4196482,29829,0.625
1598547503.2208261,30470,0.96875
1598547541.051183,30612,1.0
1598547565.2102692,30706,0.96875
1598547742.1930118,31406,1.0
1598547749.0231462,31443,1.0
1598547873.1383758,31936,1.0
1598547998.6310158,32435,1.0
1598548184.9288027,33181,1.0
1598548326.3817158,33737,0.9375
1598548328.5866199,33749,1.0
1598548336.6123047,33785,1.0
1598548352.4224067,33839,1.0
1598548359.302428,33876,0.96875
1598548373.2975228,33913,0.96875
1598548482.721314,34362,1.0
1598548526.43815,34525,0.96875
1598548541.363794,34599,0.96875
1598548769.6822674,35483,1.0
1598548894.3895621,35953,0.96875
1598548916.9140017,36037,0.96875
1598549072.1734586,36629,1.0
1598549077.818638,36659,0.96875
1598549127.8193767,36850,1.0
1598549222.025293,37202,1.0
